exactPrice,sqftPrice,securityDeposit,propertyType,maintenanceCharges,locality,furnishing,flrNum,firstMonthCharges,totalFlrNum,city,bedrooms,bathrooms,RentOrSale,Long,Lat,postedOn_DaysAgo
45000.0,73.0,175.0,3.0,174.0,2067.0,1.0,6.0,1259.0,4.0,3.0,2.0,2.0,0.0,3688.0,3706.0,646.0
6000000.0,858.0,312.0,3.0,256.0,3106.0,3.0,6.0,1945.0,6.0,,1.0,2.0,1.0,5626.0,5665.0,767.0
9500000.0,2813.0,312.0,3.0,256.0,3151.0,1.0,6.0,1945.0,12.0,16.0,1.0,1.0,1.0,6097.0,6133.0,646.0
7000.0,919.0,32.0,2.0,256.0,2909.0,1.0,0.0,94.0,5.0,13.0,0.0,0.0,0.0,4948.0,4973.0,708.0
22000.0,53.0,130.0,3.0,140.0,1518.0,0.0,3.0,839.0,1.0,5.0,1.0,1.0,0.0,2678.0,2690.0,646.0
11000.0,919.0,49.0,1.0,256.0,3530.0,0.0,0.0,336.0,12.0,16.0,0.0,0.0,0.0,6518.0,6701.0,681.0
59900000.0,4656.0,312.0,3.0,256.0,3777.0,1.0,13.0,1945.0,11.0,17.0,1.0,1.0,1.0,6945.0,6988.0,647.0
13000.0,20.0,61.0,3.0,256.0,1535.0,3.0,5.0,605.0,1.0,5.0,1.0,1.0,0.0,2053.0,2076.0,696.0
18000000.0,4503.0,312.0,3.0,256.0,3563.0,3.0,18.0,1945.0,33.0,17.0,2.0,2.0,1.0,6551.0,6588.0,647.0
35000.0,31.0,182.0,3.0,161.0,1535.0,1.0,2.0,1355.0,10.0,5.0,2.0,2.0,0.0,2771.0,2780.0,652.0
18000.0,25.0,85.0,3.0,161.0,3124.0,3.0,11.0,625.0,14.0,16.0,2.0,1.0,0.0,5790.0,5819.0,683.0
8000000.0,3360.0,312.0,3.0,256.0,2826.0,3.0,0.0,1945.0,2.0,,1.0,1.0,1.0,5145.0,5237.0,702.0
